# FINAL TIMESERIES OF HAT-P-32 b
# BJD_TDB,Orbital Phase,Flux,Uncertainty,Model,Airmass
2458107.6653240602, -0.021987053947107343, 0.9705963731603419, 0.006595625261769621, 0.9814086109473645, 1.0005068633048122
2458107.6674163123, -0.02101391720691445, 0.9725688797328788, 0.0065956176780099076, 0.9802463535698497, 1.000506047544946
2458107.6694975346, -0.020045910518316112, 0.9787744842977354, 0.006595608916552351, 0.9793142111081709, 1.0005051051036908
2458107.671577993, -0.01907825924703882, 0.9883930255954294, 0.006595598995012016, 0.9785191838915129, 1.0005040378756966
2458107.6736591114, -0.018110300857077044, 0.9837659546211953, 0.006595587985657637, 0.9778264175581535, 1.0005028536345184
2458107.6757404725, -0.017142229625906058, 0.9807449973447379, 0.006595575675853332, 0.977216125831424, 1.0005015295074038
2458107.677833465, -0.016168748514268666, 0.9807490894589158, 0.0065955621296570595, 0.9766721224429713, 1.0005000723846444
2458107.679906956, -0.01520433779994304, 0.9706958225788024, 0.006595547532606505, 0.9761923909344126, 1.0004985022237407
2458107.6819993467, -0.014231136517177556, 0.974784141105297, 0.006595531599434736, 0.975760532054087, 1.0004967883391354
2458107.6840801407, -0.013263329087528225, 0.9766465285363759, 0.006595514516274157, 0.975377239522814, 1.0004949507522656
2458107.6861607498, -0.012295607642447165, 0.9709538563111513, 0.006595496232768286, 0.9750352793195396, 1.0004929840461412
2458107.6882421337, -0.011327525798571297, 0.977114327127155, 0.006595476823503306, 0.9747306185811719, 1.0004908962434897
2458107.6903235293, -0.010359438540050087, 0.975127283845351, 0.0065954560434389065, 0.9744601484222155, 1.0004886609856354
2458107.692405457, -0.00939110372394325, 0.9730370254765246, 0.006595434095707867, 0.97422109205376, 1.000486300122672
2458107.6944988198, -0.008417450426583567, 0.9788914419531393, 0.006595410656761008, 0.9740101508447491, 1.0004837788507999
2458107.696579602, -0.007449648411579635, 0.9762944077905771, 0.006595386143970043, 0.9738277760166989, 1.0004811420652782
2458107.698660315, -0.006481878667861984, 0.9773537712953584, 0.0065953603724971345, 0.9736709900687985, 1.0004783698831106
2458107.7007410275, -0.005514109140730167, 0.9705402622898903, 0.006595333434816658, 0.9735384230589411, 1.000475472251123
2458107.702821555, -0.004546425598166565, 0.9798791286832108, 0.006595305060785506, 0.9734289537504537, 1.0004724201100665
2458107.7049145587, -0.0035729392884696065, 0.9826442104417932, 0.006595275186700841, 0.9733411829005955, 1.0004692066069527
2458107.7069952944, -0.0026051589320470747, 0.9701426058436826, 0.006595244137450804, 0.9732755171437226, 1.0004658666888644
2458107.7090767594, -0.001637039402239554, 0.9657000462087137, 0.006595211791036616, 0.9732308339846915, 1.000462387232042
2458107.711195375, -0.000651640656177177, 0.9859060903577298, 0.006595177440876544, 0.9732064356973291, 1.0004586922297487
2458107.713242872, 0.0003006800214154226, 0.973657542335105, 0.006595142923844878, 0.9732028876829165, 1.0004549792716548
2458107.715324047, 0.0012686646182606953, 0.9629178919099282, 0.006595106639258389, 0.9732194307598309, 1.0004510761735912
2458107.717404725, 0.0022364181180422604, 0.9667760173898969, 0.006595068684230164, 0.9732564029876777, 1.0004469933810327
2458107.719497393, 0.0032097482693672075, 0.9732681680827467, 0.006595029078823495, 0.9733145036345816, 1.0004427330512748
2458107.7215779778, 0.004177458451985971, 0.9718390185800247, 0.0065949883124906345, 0.9733937483107331, 1.000438347833612
2458107.7236596397, 0.0051456695975928834, 0.979577205604368, 0.006594946071613002, 0.9734948938153745, 1.0004338039914566
2458107.725740618, 0.006113562795224625, 0.9855227680052175, 0.0065949025003130555, 0.9736187380962134, 1.000429117027188
2458107.727821921, 0.007081606953168784, 0.9732066047293721, 0.006594857261090573, 0.9737663872604608, 1.0004242506349785
2458107.729941474, 0.008067441686475108, 0.9769254566404824, 0.0065948096784699, 0.9739425171003223, 1.0004191321524787
2458107.7319873846, 0.009019024456198788, 0.9755621796614602, 0.006594762052783402, 0.9741386958391625, 1.000414009026613
2458107.734079543, 0.009992117662643019, 0.9750827350488059, 0.006594711870594873, 0.9743677165944832, 1.0004086108845278
2458107.736160105, 0.010959817232556845, 0.9795031738521524, 0.00659466021871253, 0.974626108770125, 1.0004030546337093
2458107.738240366, 0.011927376671448942, 0.9679403153190579, 0.0065946070576833205, 0.9749175710542222, 1.000397336029053
2458107.7403208003, 0.012895016896849687, 0.9592990887113512, 0.006594552462177284, 0.9752452044715064, 1.0003914631018043
2458107.742413017, 0.01386813717652069, 0.9785759836867249, 0.006594495568773682, 0.975614824879565, 1.0003853429709337
2458107.744491958, 0.014835082811215428, 0.9828363392060862, 0.006594437252063252, 0.9760263801296235, 1.0003790697163188
2458107.748655813, 0.016771752010257435, 0.9707667533918153, 0.006594315722096475, 0.9770064866767014, 1.0003659964232026
2458107.750737532, 0.01773998979591951, 0.9735209819129315, 0.006594252030435986, 0.9775900214315827, 1.0003591449184226
2458107.7528184983, 0.018707877362320047, 0.9748829835400854, 0.0065941864801104515, 0.978250453779766, 1.0003520934513148
2458107.754911143, 0.019681196684354252, 0.9823329641687201, 0.006594118604000752, 0.97900960894002, 1.00034479177036
2458107.7569923643, 0.020649202939780953, 0.9688168117724848, 0.0065940493002047545, 0.9798868051634754, 1.0003373364854198
2458107.759073863, 0.021617338063767144, 0.9802954021944418, 0.006593977973186042, 0.9809426419291936, 1.0003296635305654
2458107.7611550153, 0.02258531226449334, 0.9790530637316675, 0.0065939050053814945, 0.9826434404069675, 1.0003218140443235
2458107.7632356114, 0.023553027645171642, 0.9823374077071833, 0.006593829607094456, 0.9853306811884267, 1.0003137030732276
2458107.765326056, 0.024525323815819677, 0.9801791918470761, 0.006593751533510358, 0.9883197466621839, 1.0003053042786052
2458107.7674062476, 0.025492850983425464, 0.9935330319739805, 0.006593671955851269, 0.9912972410049724, 1.0002967436527919
2458107.7694871794, 0.026460722522475777, 0.9984529589129695, 0.006593590533767326, 0.9940890934701861, 1.0002879845804973
2458107.771578145, 0.02743326105264987, 1.0085830227850199, 0.006593505887409363, 0.9965495152576386, 1.0002788786199397
2458107.77365829, 0.02840076656167423, 0.9998295391901758, 0.006593419423072974, 0.9985006078029436, 1.0002695770524825
2458107.775737659, 0.02936791123873217, 0.9953357052964427, 0.006593331110422641, 0.9997611352969603, 1.0002600766124659
